,target
0,115.77102335048198
1,115.92985808065104
2,-22.049906849369403
3,-46.46174368910182
4,-97.38666939870463
5,-45.56992056300659
6,-78.52396064630497
7,22.587426402558723
8,171.63269541512852
9,171.95374832002608
10,-106.75966309758475
11,-21.498538999224138
12,-5.633885051851423
13,121.63035920935413
14,40.28359100590582
15,44.0032316386495
16,-189.6938684609467
17,22.369288086841976
18,9.550118380707707
19,135.95259311535747
20,64.0049503200548
21,-63.43852068218902
22,-109.97161989624152
23,-9.015171720567917
24,-59.44966391465599
25,11.48625105885341
26,29.128078876617554
27,107.30047649834087
28,22.780742664445444
29,-28.186188741942846
30,110.7640482842558
31,-46.55345388566203
32,215.649094643864
33,-15.33510665433832
34,-230.4424928596427
35,152.6711281078219
36,-1.9351022244432359
37,11.728297730472779
38,-310.3963009667113
39,77.20438536041543
40,-82.46548725294664
41,-208.50070446254992
42,-239.13465569453413
43,132.30124793034372
44,-76.63679276309652
45,104.29377604134149
46,-4.874620920938599
47,19.79801065188585
48,-98.5595287127915
49,-28.620985467414986
50,9.874332917646846
51,-176.2032765556092
52,64.86641462007843
53,-97.39952254014918
54,-108.60149174385667
55,-155.45270134229074
56,59.65922392131509
57,109.33942588539345
58,-75.46954355284817
59,39.70493450460951
60,40.18599861634579
61,-51.836615713728705
62,163.84527485285295
63,43.783802105678035
64,56.19441250001321
65,21.31864684254319
66,80.34793092004365
67,-3.9520563874551877
68,-3.4860909517567054
69,0.35933812543982446
70,-27.001523837619
71,159.53958602440082
72,-41.247892449054234
73,20.796505362675056
74,-67.24651271383212
75,-70.5469232453543
76,36.76769167274216
77,-160.76942983552362
78,-2.0115765614353998
79,149.4206253349648
80,-39.33586311584847
81,-121.1287765588925
82,-195.26196819546993
83,34.242710922134975
84,145.65811741688026
85,270.52958255271653
86,-257.265492199118
87,-88.11904374653501
88,74.07771281100763
89,-90.97310305773766
90,-51.60250044795924
91,123.89865712581442
92,-165.2866738261556
93,-118.1608368538388
94,47.47294176725991
95,95.0690665087118
96,-216.51525300291019
97,-122.08416323596093
98,-173.04484136699125
99,-51.307539530094644
100,125.75003889553872
101,-84.32197304324927
102,-3.6358031666094655
103,-2.6017028955833426
104,-1.2724577494235014
105,80.35808009266637
106,43.580681436646664
107,91.98228330321936
108,-33.218665298848634
109,-86.22090734291214
110,35.185286361970135
111,16.04370626415124
112,116.36161192645002
113,6.277114871387891
114,72.72805808989295
115,31.526196392236688
116,-143.53212852857345
117,5.887332400773289
118,19.137879589561376
119,-24.24660320013729
120,-23.73441614499114
121,-256.64888995962986
122,266.00799111085337
123,152.17503259516067
124,11.619515172579352
125,82.87470861311144
126,-14.614428040710827
127,-155.36667706517713
128,112.36498746264104
129,-33.41600041942067
130,-216.89895630770124
131,120.07766274048942
132,-31.457571169340653
133,-87.03908783656814
134,169.16080157031118
135,39.87350839418105
136,-20.06859413179733
137,61.63307873742459
138,44.25438465443626
139,-177.00270765192676
140,128.39302545114143
141,-75.23334737921896
142,211.46643476514507
143,134.35398959055067
144,-3.065614500366976
145,-155.20393991768483
146,-18.44597336255851
147,133.8204154088739
148,35.8456600656184
149,55.71398311540739
150,-5.199742307660632
151,-44.27329981479699
152,17.953851061648674
153,-71.12172106384168
154,25.967548943977672
155,140.1409278178224
156,345.88499200359155
157,215.05307471356514
158,27.39393908644023
159,-38.52161245307062
160,-172.3586356957614
161,11.796100469623616
162,296.86412223538423
163,75.242198106264
164,-23.668997288740524
165,153.82655072107931
166,-157.0898709480836
167,137.63451553754376
168,169.98525289102176
169,-47.30499213714939
170,65.02906935423033
171,96.16791475584789
172,93.29096580412391
173,30.79580807486922
